entry_time,exit_time,symbol,symbol_id,expiry,dte_entry,strike,spot_entry,spot_exit,delta_entry,gamma_entry,vega_entry,theta_entry,bid_entry,ask_entry,mark_entry,entry_execution_price,exit_execution_price,quantity,side,option_entry_fee,option_exit_fee,option_gross_pnl,option_net_pnl,exit_reason
28928160,28930080,BTC-2JAN25-93000-C,14,1735804800000000.0,1.3333333333333333,93000.0,93420.5549,95830.9,0.57785,0.00014,22.10625,-397.65654,0.014,0.0145,0.0143,0.014,0.02954057616071637,-1.0,sell,0.6539438843000001,0.0,-1523.012231399994,-1523.666175284294,expiry_settlement
28928161,28930080,BTC-2JAN25-94000-C,15,1735804800000000.0,1.332638888888889,94000.0,93450.422,95830.9,0.4356,0.00015,22.24365,-400.08825,0.009,0.0095,0.0092,0.009,0.01910552859255203,-1.0,sell,0.420526899,0.0,-989.8462019999942,-990.2667288989942,expiry_settlement
28928221,28930080,BTC-2JAN25-95000-C,16,1735804800000000.0,1.2909722222222222,95000.0,94062.0777,95830.9,0.37521,0.00014,21.22093,-392.47486,0.007,0.0075,0.0073,0.007,0.008670481024387689,-1.0,sell,0.32921727195,0.0,-172.46545609999419,-172.79467337194419,expiry_settlement
28928641,28930080,BTC-2JAN25-93500-C,43,1735804800000000.0,0.9993055555555556,93500.0,93563.514,95830.9,0.51601,0.00018,19.50826,-452.07307,0.0095,0.01,0.01,0.0095,0.0243230523766342,-1.0,sell,0.44442669149999997,0.0,-1442.0466169999943,-1442.4910436914943,expiry_settlement
28928644,28930080,BTC-2JAN25-94500-C,44,1735804800000000.0,0.9972222222222222,94500.0,93570.5243,95830.9,0.34659,0.00016,18.04453,-419.81264,0.005,0.0055,0.0056,0.005,0.01388800480846986,-1.0,sell,0.23392631075000003,0.0,-863.0473784999941,-863.2813048107441,expiry_settlement
28930080,28931520,BTC-3JAN25-96000-C,37,1735891200000000.0,1.0,96000.0,95830.9,96340.216,0.48129,0.00015,19.98286,-538.9291,0.01,0.0105,0.0104,0.01,0.003531401673419544,-1.0,sell,0.4791545,0.0,618.0929999999996,617.6138454999996,expiry_settlement
28930087,28931520,BTC-3JAN25-95000-C,36,1735891200000000.0,0.9951388888888889,95000.0,95821.77,96340.216,0.62649,0.00014,18.94104,-503.83294,0.0155,0.016,0.0158,0.0155,0.01391128290598809,-1.0,sell,0.7426187175,0.0,145.02143499999966,144.27881628249966,expiry_settlement
28930114,28931520,BTC-3JAN25-95500-C,63,1735891200000000.0,0.9763888888888889,95500.0,95755.76,96340.216,0.54469,0.00015,19.62621,-507.63341,0.0115,0.0125,0.012,0.0115,0.008721342289703818,-1.0,sell,0.55059562,0.0,260.97523999999953,260.4246443799995,expiry_settlement
28930117,28931520,BTC-3JAN25-96500-C,64,1735891200000000.0,0.9743055555555555,96500.0,95735.03,96340.216,0.3901,0.00015,18.97231,-499.0873,0.007,0.0075,0.0073,0.007,0.0,-1.0,sell,0.335072605,0.0,670.14521,669.810137395,expiry_settlement
28930132,28931520,BTC-3JAN25-97000-C,38,1735891200000000.0,0.9638888888888889,97000.0,96038.83,96340.216,0.3634,0.00014,18.51662,-494.30776,0.0065,0.007,0.0067,0.0065,0.0,-1.0,sell,0.3121261975,0.0,624.252395,623.9402688025,expiry_settlement
28931520,28932960,BTC-4JAN25-96000-C,54,1735977600000000.0,1.0,96000.0,96340.216,98258.7615,0.56649,0.00018,19.83041,-429.1416,0.01,0.011,0.0109,0.01,0.022987888973137457,-1.0,sell,0.48170108,0.0,-1295.3593399999932,-1295.8410410799931,expiry_settlement
28931521,28932960,BTC-4JAN25-96500-C,88,1735977600000000.0,0.9993055555555556,96500.0,96333.7561,98258.7615,0.47272,0.00018,20.05361,-431.65818,0.0075,0.008,0.0081,0.0075,0.017899284228205883,-1.0,sell,0.361251585375,0.0,-1036.2583292499933,-1036.6195808353682,expiry_settlement
28931524,28932960,BTC-4JAN25-95500-C,90,1735977600000000.0,0.9972222222222222,95500.0,96354.8789,98258.7615,0.65843,0.00017,18.47999,-396.985,0.0135,0.015,0.014,0.0135,0.028076493718069032,-1.0,sell,0.650395432575,0.0,-1457.9706348499933,-1458.6210302825682,expiry_settlement
28931547,28932960,BTC-4JAN25-97000-C,55,1735977600000000.0,0.98125,97000.0,96433.2364,98258.7615,0.39977,0.00018,19.3075,-411.53417,0.0055,0.006,0.0062,0.0055,0.012810679483274306,-1.0,sell,0.2651914001,0.0,-728.3786997999933,-728.6438912000933,expiry_settlement
28931600,28934400,BTC-5JAN25-97000-C,75,1736064000000000.0,1.9444444444444444,97000.0,96436.1033,98208.4185,0.43844,0.00013,27.7572,-300.14433,0.0095,0.01,0.0098,0.0095,0.012304632519868955,-1.0,sell,0.458071490675,0.0,-292.27551864999975,-292.7335901406748,expiry_settlement
28932967,28934400,BTC-5JAN25-98500-C,109,1736064000000000.0,0.9951388888888889,98500.0,98229.9587,98208.4185,0.40777,0.00035,19.90604,-218.04763,0.0035,0.0037,0.0033,0.0035,0.0,-1.0,sell,0.171902427725,0.0,343.80485545,343.632953022275,expiry_settlement
28932960,28935840,BTC-6JAN25-98000-C,91,1736150400000000.0,2.0,98000.0,98258.7615,99389.0886,0.55981,0.00018,28.69878,-216.71467,0.01,0.011,0.0105,0.01,0.013976268618283745,-1.0,sell,0.49129380749999996,0.0,-406.50098500000286,-406.9922788075029,expiry_settlement
28932963,28935840,BTC-6JAN25-99000-C,97,1736150400000000.0,1.9979166666666666,99000.0,98285.519,99389.0886,0.38592,0.00017,27.82345,-211.73736,0.0055,0.006,0.006,0.0055,0.003914801971531538,-1.0,sell,0.27028517725,0.0,151.48175449999724,151.21146932274723,expiry_settlement
28934404,28935840,BTC-6JAN25-98500-C,127,1736150400000000.0,0.9972222222222222,98500.0,97999.9676,99389.0886,0.38538,0.00023,19.57924,-318.3534,0.0042,0.0048,0.0045,0.0042,0.008945535294907643,-1.0,sell,0.20579993196,0.0,-477.4887360800028,-477.6945360119628,expiry_settlement
28934405,28935840,BTC-6JAN25-97500-C,126,1736150400000000.0,0.9965277777777778,97500.0,98001.5767,99389.0886,0.62398,0.00023,19.42764,-310.94166,0.0085,0.0095,0.0095,0.0085,0.01900700194165985,-1.0,sell,0.4165067009750001,0.0,-1056.0751980500027,-1056.4917047509778,expiry_settlement
28932984,28937280,BTC-7JAN25-98000-C,120,1736236800000000.0,2.9833333333333334,98000.0,98158.8474,101777.9131,0.53517,0.00012,35.29208,-230.01497,0.014,0.0155,0.0153,0.014,0.037119184162167744,-1.0,sell,0.6871119318,0.0,-2403.689236400005,-2404.376348331805,expiry_settlement
28935840,28937280,BTC-7JAN25-99000-C,121,1736236800000000.0,1.0,99000.0,99389.0886,101777.9131,0.5655,0.00015,20.46651,-504.55547,0.012,0.013,0.0123,0.012,0.027293869714842926,-1.0,sell,0.5963345316,0.0,-1585.2440368000052,-1585.8403713316052,expiry_settlement
28935843,28937280,BTC-7JAN25-100000-C,111,1736236800000000.0,0.9979166666666667,100000.0,99462.7373,101777.9131,0.42673,0.00015,20.38975,-529.89637,0.008,0.0085,0.0084,0.008,0.017468555267518105,-1.0,sell,0.3978509492,0.0,-982.2112016000052,-982.6090525492052,expiry_settlement
28935845,28937280,BTC-7JAN25-99500-C,146,1736236800000000.0,0.9965277777777778,99500.0,99577.466,101777.9131,0.51721,0.00015,20.73078,-514.58386,0.0105,0.0115,0.0107,0.0105,0.022381212491180517,-1.0,sell,0.5227816965000001,0.0,-1232.349707000005,-1232.8724886965051,expiry_settlement
28935853,28937280,BTC-7JAN25-100500-C,144,1736236800000000.0,0.9909722222222223,100500.0,99604.0162,101777.9131,0.37269,0.00014,19.63424,-500.07218,0.0065,0.007,0.0067,0.0065,0.012555898043855698,-1.0,sell,0.32371305264999994,0.0,-630.4869947000053,-630.8107077526553,expiry_settlement
28937280,28938720,BTC-8JAN25-101500-C,192,1736323200000000.0,1.0,101500.0,101777.9131,95640.6666,0.55153,0.00017,21.06769,-463.96337,0.01,0.011,0.0106,0.01,0.0,-1.0,sell,0.5088895655000001,0.0,1017.7791310000001,1017.2702414345001,expiry_settlement
28937281,28938720,BTC-8JAN25-101000-C,130,1736323200000000.0,0.9993055555555556,101000.0,101739.2612,95640.6666,0.62951,0.00016,20.10133,-439.11922,0.0125,0.0135,0.0132,0.0125,0.0,-1.0,sell,0.6358703825,0.0,1271.740765,1271.1048946175001,expiry_settlement
28937282,28938720,BTC-8JAN25-102000-C,131,1736323200000000.0,0.9986111111111111,102000.0,101711.779,95640.6666,0.45624,0.00017,21.08916,-469.50826,0.0075,0.008,0.008,0.0075,0.0,-1.0,sell,0.38141917124999997,0.0,762.8383425,762.45692332875,expiry_settlement
28937293,28938720,BTC-8JAN25-103000-C,132,1736323200000000.0,0.9909722222222223,103000.0,101701.4029,95640.6666,0.29235,0.00015,18.20138,-397.80459,0.0039,0.0042,0.0041,0.0039,0.0,-1.0,sell,0.198317735655,0.0,396.63547130999996,396.43715357434496,expiry_settlement
28937316,28938720,BTC-8JAN25-102500-C,193,1736323200000000.0,0.975,102500.0,101835.7859,95640.6666,0.39005,0.00017,20.1877,-437.41326,0.006,0.0065,0.0061,0.006,0.0,-1.0,sell,0.3055073577,0.0,611.0147154,610.7092080423,expiry_settlement
28938720,28940160,BTC-9JAN25-95000-C,163,1736409600000000.0,1.0,95000.0,95640.6666,93174.58,0.59735,0.00014,19.36805,-540.91202,0.014,0.015,0.0153,0.014,0.0,-1.0,sell,0.6694846662,0.0,1338.9693324,1338.2998477337999,expiry_settlement
28938722,28940160,BTC-9JAN25-96000-C,164,1736409600000000.0,0.9986111111111111,96000.0,95630.3252,93174.58,0.45181,0.00015,19.80262,-539.83249,0.009,0.0095,0.0096,0.009,0.0,-1.0,sell,0.43033646340000004,0.0,860.6729268,860.2425903366001,expiry_settlement
28938739,28940160,BTC-9JAN25-96500-C,210,1736409600000000.0,0.9868055555555556,96500.0,95860.5231,93174.58,0.40847,0.00015,19.35225,-505.1767,0.0075,0.008,0.0079,0.0075,0.0,-1.0,sell,0.35947696162500004,0.0,718.95392325,718.594446288375,expiry_settlement
28938741,28940160,BTC-9JAN25-95500-C,209,1736409600000000.0,0.9854166666666667,95500.0,95756.8976,93174.58,0.54424,0.00015,19.71998,-522.76524,0.0115,0.0125,0.0124,0.0115,0.0,-1.0,sell,0.5506021611999999,0.0,1101.2043224,1100.6537202388,expiry_settlement
28938793,28941600,BTC-10JAN25-96000-C,188,1736496000000000.0,1.9493055555555556,96000.0,95812.5754,94544.1767,0.46468,0.00014,27.78732,-291.6415,0.013,0.0155,0.0104,0.013,0.0,-1.0,sell,0.6227817401,0.0,1245.5634802,1244.9406984599,expiry_settlement
28940160,28941600,BTC-10JAN25-93000-C,199,1736496000000000.0,1.0,93000.0,93174.58,94544.1767,0.53404,0.00016,19.37874,-479.07118,0.0105,0.0115,0.0113,0.0105,0.016332858922658497,-1.0,sell,0.48916654500000006,0.0,-565.8436099999963,-566.3327765449962,expiry_settlement
28940163,28941600,BTC-10JAN25-93500-C,234,1736496000000000.0,0.9979166666666667,93500.0,93119.51,94544.1767,0.44093,0.00017,19.20459,-464.56919,0.0075,0.0085,0.0081,0.0075,0.011044325906113648,-1.0,sell,0.34919816249999996,0.0,-345.7803749999964,-346.1295731624964,expiry_settlement
28940168,28941600,BTC-10JAN25-92000-C,198,1736496000000000.0,0.9944444444444445,92000.0,92922.74,94544.1767,0.6489,0.00015,17.97875,-464.10111,0.0155,0.0175,0.0164,0.0155,0.026909924955748187,-1.0,sell,0.7201512350000001,0.0,-1103.8742299999963,-1104.5943812349963,expiry_settlement
28940204,28941600,BTC-10JAN25-94000-C,195,1736496000000000.0,0.9694444444444444,94000.0,93341.93,94544.1767,0.39314,0.00017,18.49218,-443.67817,0.0065,0.007,0.0067,0.0065,0.0057557928895688015,-1.0,sell,0.3033612725,0.0,62.545845000003624,62.242483727503625,expiry_settlement
28941600,28943040,BTC-11JAN25-94000-C,219,1736582400000000.0,1.0,94000.0,94544.1767,94272.1908,0.5801,0.00013,19.33621,-570.82501,0.0145,0.0155,0.0154,0.0145,0.0028872862473033425,-1.0,sell,0.685445281075,0.0,1098.6997621500034,1098.0143168689283,expiry_settlement
28941601,28943040,BTC-11JAN25-94500-C,254,1736582400000000.0,0.9993055555555556,94500.0,94479.269,94272.1908,0.50313,0.00014,19.71439,-572.27968,0.011,0.0115,0.012,0.011,0.0,-1.0,sell,0.5196359795,0.0,1039.271959,1038.7523230205,expiry_settlement
28941603,28943040,BTC-11JAN25-95000-C,220,1736582400000000.0,0.9979166666666667,95000.0,94420.7095,94272.1908,0.4246,0.00014,19.33656,-551.15113,0.0085,0.009,0.0091,0.0085,0.0,-1.0,sell,0.40128801537500003,0.0,802.5760307500001,802.174742734625,expiry_settlement
28941633,28943040,BTC-11JAN25-95500-C,255,1736582400000000.0,0.9770833333333333,95500.0,94707.589,94272.1908,0.39242,0.00014,18.8278,-524.18423,0.0075,0.008,0.0079,0.0075,0.0,-1.0,sell,0.35515345875000004,0.0,710.3069175,709.95176404125,expiry_settlement
28941781,28943040,BTC-11JAN25-96000-C,221,1736582400000000.0,0.8743055555555556,96000.0,95164.361,94272.1908,0.38242,0.00014,17.76093,-506.8541,0.007,0.0075,0.0073,0.007,0.0,-1.0,sell,0.3330752635,0.0,666.150527,665.8174517365001,expiry_settlement
28943042,28944480,BTC-12JAN25-94500-C,275,1736668800000000.0,0.9986111111111111,94500.0,94255.8603,94289.8254,0.42265,0.00032,19.28954,-242.674,0.0041,0.0043,0.004,0.0041,0.0,-1.0,sell,0.193224513615,0.0,386.44902723,386.255802716385,expiry_settlement
28943040,28945920,BTC-13JAN25-94000-C,261,1736755200000000.0,2.0,94000.0,94272.1908,93555.8254,0.55692,0.00017,27.55889,-226.01883,0.011,0.0115,0.0113,0.011,0.0,-1.0,sell,0.5184970494,0.0,1036.9940987999998,1036.4756017506,expiry_settlement
28943048,28945920,BTC-13JAN25-95000-C,262,1736755200000000.0,1.9944444444444445,95000.0,94282.1608,93555.8254,0.38393,0.00017,26.62133,-214.90462,0.006,0.0065,0.0063,0.006,0.0,-1.0,sell,0.28284648240000004,0.0,565.6929648,565.4101183176,expiry_settlement
28943094,28945920,BTC-13JAN25-93000-C,260,1736755200000000.0,1.9625,93000.0,94082.365,93555.8254,0.69016,0.00015,24.33558,-207.39641,0.016,0.0175,0.0167,0.016,0.0059411094672465106,-1.0,sell,0.7526589200000001,0.0,949.4924399999986,948.7397810799986,expiry_settlement
28943095,28947360,BTC-14JAN25-93000-C,281,1736841600000000.0,2.9618055555555554,93000.0,94090.7274,94900.1258,0.63107,0.0001,31.98725,-233.33115,0.0205,0.0225,0.0223,0.0205,0.020022373879719287,-1.0,sell,0.9644299558500001,0.0,28.73411170000577,27.76968174415577,expiry_settlement
28944480,28947360,BTC-14JAN25-94000-C,282,1736841600000000.0,2.0,94000.0,94289.8254,94900.1258,0.54754,0.00013,27.64793,-297.08883,0.0135,0.015,0.0144,0.0135,0.009484980050468958,-1.0,sell,0.6364563214500001,0.0,372.7868429000057,372.1503865785557,expiry_settlement
28945922,28947360,BTC-14JAN25-93500-C,313,1736841600000000.0,0.9986111111111111,93500.0,93547.8911,94900.1258,0.51292,0.00016,19.5037,-511.57833,0.0105,0.0115,0.0112,0.0105,0.014753676965094123,-1.0,sell,0.491126428275,0.0,-417.8729434499943,-418.3640698782693,expiry_settlement
28945932,28947360,BTC-14JAN25-92500-C,312,1736841600000000.0,0.9916666666666667,92500.0,93406.1687,94900.1258,0.64341,0.00014,18.14801,-479.68558,0.0155,0.0165,0.0165,0.0155,0.025291070794344454,-1.0,sell,0.723897807425,0.0,-952.3301851499943,-953.0540829574194,expiry_settlement
28945996,28947360,BTC-14JAN25-92000-C,290,1736841600000000.0,0.9472222222222222,92000.0,92924.6561,94900.1258,0.6406,0.00014,17.69334,-502.70955,0.016,0.0175,0.0171,0.016,0.030559767708969617,-1.0,sell,0.7433972487999999,0.0,-1413.3313023999945,-1414.0746996487944,expiry_settlement
28947360,28948800,BTC-15JAN25-95000-C,297,1736928000000000.0,1.0,95000.0,94900.1258,97242.3092,0.49144,0.00014,19.80532,-550.3734,0.0105,0.0115,0.0111,0.0105,0.02305898757904037,-1.0,sell,0.49822566045000005,0.0,-1245.8578791000032,-1246.3561047604533,expiry_settlement
28947361,28948800,BTC-15JAN25-94500-C,359,1736928000000000.0,0.9993055555555556,94500.0,94961.1947,97242.3092,0.57224,0.00014,19.49001,-542.19988,0.0135,0.0145,0.0142,0.0135,0.028200782381255948,-1.0,sell,0.6409880642249999,0.0,-1460.3330715500035,-1460.9740596142285,expiry_settlement
28947365,28948800,BTC-15JAN25-96000-C,298,1736928000000000.0,0.9965277777777778,96000.0,95094.9607,97242.3092,0.37599,0.00014,18.85065,-517.38318,0.0065,0.007,0.0074,0.0065,0.012775397974609217,-1.0,sell,0.309058622275,0.0,-624.1919554500034,-624.5010140722784,expiry_settlement
28947369,28948800,BTC-15JAN25-95500-C,360,1736928000000000.0,0.99375,95500.0,95234.955,97242.3092,0.46577,0.00015,19.74458,-525.50034,0.0095,0.01,0.0097,0.0095,0.017917192776824794,-1.0,sell,0.45236603625,0.0,-837.5771275000034,-838.0294935362534,expiry_settlement
28947377,28948800,BTC-15JAN25-96500-C,361,1736928000000000.0,0.9881944444444445,96500.0,95742.1747,97242.3092,0.39652,0.00014,19.19583,-523.4241,0.0075,0.008,0.0079,0.0075,0.00763360317239364,-1.0,sell,0.359033155125,0.0,-24.242889750003314,-24.601922905128315,expiry_settlement
28948800,28950240,BTC-16JAN25-97000-C,322,1737014400000000.0,1.0,97000.0,97242.3092,99842.42,0.53761,0.00013,20.20804,-607.61295,0.013,0.014,0.0138,0.013,0.02846906154718604,-1.0,sell,0.6320750098,0.0,-1578.2699803999983,-1578.9020554097983,expiry_settlement
28948803,28950240,BTC-16JAN25-98000-C,323,1737014400000000.0,0.9979166666666667,98000.0,97418.5598,99842.42,0.42881,0.00013,19.98993,-584.44202,0.009,0.0095,0.0095,0.009,0.01845327867653847,-1.0,sell,0.4383835191,0.0,-965.6529617999983,-966.0913453190982,expiry_settlement
28948804,28950240,BTC-16JAN25-97500-C,370,1737014400000000.0,0.9972222222222222,97500.0,97384.8046,99842.42,0.4911,0.00013,20.29582,-593.07291,0.011,0.012,0.0116,0.011,0.023461170111862256,-1.0,sell,0.5356164253,0.0,-1271.1871493999984,-1271.7227658252984,expiry_settlement
28948829,28950240,BTC-16JAN25-98500-C,371,1737014400000000.0,0.9798611111111111,98500.0,97508.2273,99842.42,0.38253,0.00012,19.26813,-597.82316,0.008,0.0085,0.0084,0.008,0.013445387241214688,-1.0,sell,0.3900329092,0.0,-562.3541815999982,-562.7442145091983,expiry_settlement
28948885,28950240,BTC-16JAN25-96000-C,321,1737014400000000.0,0.9409722222222222,96000.0,97084.1369,99842.42,0.64473,0.00012,18.34991,-571.8533,0.018,0.0195,0.0189,0.018,0.038484844417833605,-1.0,sell,0.8737572320999999,0.0,-2094.9055357999987,-2095.779293032099,expiry_settlement
